,index,India,Ep,New_cases
0,1/22/20,0,0.0,0
1,1/23/20,0,0.0,0
2,1/24/20,0,0.0,0
3,1/25/20,0,0.0,0
4,1/26/20,0,0.0,0
5,1/27/20,0,0.0,0
6,1/28/20,0,0.0,0
7,1/29/20,0,0.0,0
8,1/30/20,1,0.0,1
9,1/31/20,1,1.0,0
10,2/1/20,1,1.0,0
11,2/2/20,2,2.0,1
12,2/3/20,3,1.5,1
13,2/4/20,3,1.0,0
14,2/5/20,3,1.0,0
15,2/6/20,3,1.0,0
16,2/7/20,3,1.0,0
17,2/8/20,3,1.0,0
18,2/9/20,3,1.0,0
19,2/10/20,3,1.0,0
20,2/11/20,3,1.0,0
21,2/12/20,3,1.0,0
22,2/13/20,3,1.0,0
23,2/14/20,3,1.0,0
24,2/15/20,3,1.0,0
25,2/16/20,3,1.0,0
26,2/17/20,3,1.0,0
27,2/18/20,3,1.0,0
28,2/19/20,3,1.0,0
29,2/20/20,3,1.0,0
30,2/21/20,3,1.0,0
31,2/22/20,3,1.0,0
32,2/23/20,3,1.0,0
33,2/24/20,3,1.0,0
34,2/25/20,3,1.0,0
35,2/26/20,3,1.0,0
36,2/27/20,3,1.0,0
37,2/28/20,3,1.0,0
38,2/29/20,3,1.0,0
39,3/1/20,3,1.0,0
40,3/2/20,5,1.6666666666666667,2
41,3/3/20,5,1.0,0
42,3/4/20,28,5.6,23
43,3/5/20,30,1.0714285714285714,2
44,3/6/20,31,1.0333333333333334,1
45,3/7/20,34,1.096774193548387,3
46,3/8/20,39,1.1470588235294117,5
47,3/9/20,43,1.1025641025641026,4
48,3/10/20,56,1.302325581395349,13
49,3/11/20,62,1.1071428571428572,6
50,3/12/20,73,1.1774193548387097,11
51,3/13/20,82,1.1232876712328768,9
52,3/14/20,102,1.2439024390243902,20
53,3/15/20,113,1.107843137254902,11
54,3/16/20,119,1.0530973451327434,6
55,3/17/20,142,1.1932773109243697,23
56,3/18/20,156,1.0985915492957747,14
57,3/19/20,194,1.2435897435897436,38
58,3/20/20,244,1.2577319587628866,50
59,3/21/20,330,1.3524590163934427,86
60,3/22/20,396,1.2,66
61,3/23/20,499,1.2601010101010102,103
62,3/24/20,536,1.0741482965931863,37
63,3/25/20,657,1.2257462686567164,121
64,3/26/20,727,1.1065449010654491,70
65,3/27/20,887,1.220082530949106,160
66,3/28/20,987,1.112739571589628,100
67,3/29/20,1024,1.0374873353596759,37
68,3/30/20,1251,1.2216796875,227
69,3/31/20,1397,1.1167066346922463,146
70,4/1/20,1998,1.4302075876879026,601
71,4/2/20,2543,1.2727727727727727,545
72,4/3/20,2567,1.0094376720408966,24
73,4/4/20,3082,1.2006232956758862,515
74,4/5/20,3588,1.164179104477612,506
75,4/6/20,4778,1.3316610925306578,1190
76,4/7/20,5311,1.1115529510255338,533
77,4/8/20,5916,1.1139145170401055,605
78,4/9/20,6725,1.1367478025693036,809
79,4/10/20,7598,1.129814126394052,873
80,4/11/20,8446,1.1116083179784153,848
81,4/12/20,9205,1.0898650248638408,759
82,4/13/20,10453,1.1355784899511134,1248
83,4/14/20,11487,1.098918970630441,1034
84,4/15/20,12322,1.0726908679376688,835
85,4/16/20,13430,1.0899204674565817,1108
86,4/17/20,14352,1.0686522710349964,922
87,4/18/20,15722,1.0954570791527314,1370
88,4/19/20,17615,1.1204045286859179,1893
89,4/20/20,18539,1.052455293783707,924
90,4/21/20,20080,1.0831220669939048,1541
91,4/22/20,21370,1.0642430278884463,1290
92,4/23/20,23077,1.079878334113243,1707
93,4/24/20,24530,1.062963123456255,1453
94,4/25/20,26283,1.0714635140644109,1753
95,4/26/20,27890,1.0611421831602177,1607
96,4/27/20,29451,1.0559698816780207,1561
97,4/28/20,31324,1.0635971613867101,1873
98,4/29/20,33062,1.0554846124377475,1738
99,4/30/20,34863,1.054473413586595,1801
100,5/1/20,37257,1.0686687892608209,2394
101,5/2/20,39699,1.0655447298494243,2442
102,5/3/20,42505,1.0706818811556966,2806
103,5/4/20,46437,1.0925067639101282,3932
104,5/5/20,49400,1.063806878135969,2963
105,5/6/20,52987,1.0726113360323886,3587
106,5/7/20,56351,1.0634872704625662,3364
